GOVERNMENT HOSPITALS 
7.920429,124.191007	BALINDONG MUNICIPAL HOSPITAL
7.79420,124.16764	UNAYAN MUNICIPAL HOSPITAL
8.00454,124.28382	AMAI PAKPAK MEDICAL CENTER
7.87629,124.32814	TAMPARAN DISTRICT HOSPITAL
7.6387401,124.7225723	WAO DISTRICT HOSPITAL
6.75345,124.80163	BULUAN DISTRICT HOSPITAL
7.0239201,124.3150787	DINAIG MUNICIPAL HOSPITAL
7.1634598,124.2108688	CAMP SIONGCO STATION HOSPITAL
7.3873200,124.2563019	CAMP BRIG. GEN. SALIPADA K. PENDATUN HOSPITAL
6.8556600,124.1476288	SOUTH UPI MUNICIPAL HOSPITAL
7.2359500,124.2690125	COTABATO SANITARIUM 
7.03038,124.16473	DATU BLAH T. SINSUAT DISTRICT HOSPITAL
6.0465698,121.0020370	SULU PROVINCIAL HOSPITAL
6.0502400,121.0059204	SULU SANITARIUM
5.9674902,121.3106232	LUUK DISTRICT HOSPITAL
5.9827800,121.2123337	PANAMAO DISTRICT HOSPITAL
6.2988300,120.5842819	PANGUTARAN DISTRICT HOSPITAL
5.9133801,120.9052963	PARANG DISTRICT HOSPITAL
5.5419002,120.8178711	SIASI DISTRICT HOSPITAL
5.7048998,120.8821793	TAPUL MUNICIPAL HOSPITAL
6.1493101,121.8282700	TONGKIL MUNICIPAL HOSPITAL
5.025769,119.776945	DATU HALUN SAKILAN MEMORIAL HOSPITAL
5.26756,120.07894	LANGUYAN MUNICIPAL HOSPITAL
6.977,118.511	CAGAYAN DE TAWI-TAWI DISTRICT HOSPITAL
5.018875,120.199602	TUAN LIGADDUNG LIPAE MEMORIAL HOSPITAL
4.840221,119.45903	DATU ALAWADIN BANDON SR. MEMORIAL HOSPITAL
17.6159992,120.6180115	ABRA PROVINCIAL HOSPITAL
17.5404491,120.7147675	BUCAY MUNICIPAL HOSPITAL
17.6496296,120.7120514	DOLORES MEDICARE AND COMMUNITY HOSPITAL
17.6790791,120.6887436	LA PAZ DISTRICT HOSPITAL
17.4488392,120.6211929	VILLAVICIOSA MEDICARE AND COMMUNITY HOSPITAL
18.2543793,121.0424805	APAYAO DISTRICT HOSPITAL
17.8006496,121.3226471	CONNER DISTRICT HOSPITAL
18.2227802,121.4185791	FLORA DISTRICT HOSPITAL
18.2543507,121.0425415	APAYAO PROVINCIAL HOSPITAL
18.3386803,121.3840790	FAR NORTH LUZON GENERAL HOSPITAL AND TRAINING CENTER
18.2356491,121.3717728	AMMA JADSAC DISTRICT HOSPITAL
18.2934093,121.4367371	SANTA MARCELA DISTRICT HOSPITAL
16.6271400,120.7668991	ATOK DISTRICT HOSPITAL
16.3630295,120.6193237	FORT DEL PILAR STATION HOSPITAL
16.4010792,120.5956726	BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER
16.4202995,120.5964813	BAGUIO REPRODUCTIVE HEALTH WELLNESS CENTER
16.5122604,120.8239670	DENNIS MOLINTAS MEMORIAL HOSPITAL
16.7723999,120.8195572	ABATAN EMERGENCY HOSPITAL
16.3562298,120.7164764	ITOGON MUNICIPAL HOSPITAL
16.5749702,120.5924072	KAPANGAN MEDICARE AND COMMUNITY HOSPITAL
16.4508991,120.5892334	BENGUET GENERAL HOSPITAL
16.9529495,121.3312988	AGUINALDO PEOPLE'S HOSPITAL
16.9270306,121.4896011	POTIA DISTRICT HOSPITAL
16.8405895,121.0061493	HUNGDUAN MUNICIPAL HOSPITAL
16.8106995,121.1049271	IFUGAO GENERAL HOSPITAL
16.6779709,121.2020721	PANOPDOPAN DISTRICT HOSPITAL
16.9751606,121.2213516	MAYOYAO DISTRICT HOSPITAL
16.6823502,120.9280090	TINOC DISTRICT HOSPITAL
17.4958191,121.2010803	WESTERN KALINGA DISTRICT HOSPITAL
17.4103203,121.4399796	KALINGA PROVINCIAL HOSPITAL
17.3511600,121.1750183	KALINGA DISTRICT HOSPITAL
17.6128902,121.4097366	PINUKPUK DISTRICT HOSPITAL
17.5103397,121.5819473	JUAN M. DUYAN MEMORIAL DISTRICT HOSPITAL
17.0421696,121.0990829	BARLIG DISTRICT HOSPITAL
16.9808903,120.8537216	LUIS HORA MEMORIAL REGIONAL HOSPITAL
17.0951500,120.8557587	BESAO DISTRICT HOSPITAL
17.0935402,120.9766235	BONTOC GENERAL HOSPITAL
17.0508404,121.1249924	NATONIN COMMUNITY HOSPITAL
17.2666893,121.4666595	PARACELIS DISTRICT HOSPITAL
14.5978098,120.9719009	JUSTICE JOSE ABAD SANTOS MOTHER AND CHILD HOSPITAL
14.594392,120.999790	PRESIDENTIAL SECURITY GROUP STATION HOSPITAL
14.5779600,120.9863510	UP - PHILIPPINE GENERAL HOSPITAL
14.5640097,120.98645	OSPITAL NG MAYNILA MEDICAL CENTER
14.6076403,120.9967728	OSPITAL NG SAMPALOC
14.5834503,121.0163422	SANTA ANA HOSPITAL
14.6063099,120.9841385	DR. JOSE FABELLA MEMORIAL HOSPITAL
14.6134796,120.9809494	SAN LAZARO HOSPITAL
14.6141100,120.9820099	JOSE R. REYES MEMORIAL MEDICAL CENTER
14.6010599,120.9648514	GAT ANDRES BONIFACIO MEMORIAL MEDICAL CENTER
14.6259604,120.9783478	OSPITAL NG TONDO
14.6349201,120.9631805	TONDO MEDICAL CENTER
14.4716997,120.9740219	LAS PIÑAS GENERAL HOSPITAL AND SATELLITE TRAUMA CENTER
14.546442,121.061891	OSPITAL NG MAKATI
14.3815403,121.0280380	NEW BILIBID PRISON HOSPITAL
14.4097300,121.0372772	RESEARCH INSTITUTE FOR TROPICAL MEDICINE
14.4145002,121.0442276	OSPITAL NG MUNTINLUPA
14.5005903,120.9910889	OSPITAL NG PARANAQUE
14.51946,121.02081	AIR FORCE GENERAL HOSPITAL
14.54945,121.00086	PASAY CITY GENERAL HOSPITAL
14.5107803,121.0342484	TAGUIG-PATEROS DISTRICT HOSPITAL
14.5298700,121.0324936	MANILA NAVAL HOSPITAL
14.5310097,121.0477600	ARMY GENERAL HOSPITAL 
14.5763502,121.0351715	MANDALUYONG CITY MEDICAL CENTER
14.5818300,121.0431671	NATIONAL CENTER FOR MENTAL HEALTH
14.63603,121.09839	AMANG RODRIGUEZ MEDICAL CENTER
14.5619297,121.0744629	CHILDS HOPE/PASIG CITY CHILDRENS HOSPITAL
14.5638599,121.0660934	RIZAL MEDICAL CENTER
14.5724602,121.0991669	PASIG CITY GENERAL HOSPITAL
14.60675,121.02352	SAN JUAN MEDICAL CENTER
14.6126604,121.0627670	CAMP GENERAL EMILIO AGUINALDO STATION HOSPITAL
14.6150999,121.0523987	PHILIPPINE NATIONAL POLICE GENERAL HOSPITAL
14.615154, 121.052324	PNP GENERAL HOSPITAL ANNEX
14.6205101,121.0209732	NATIONAL CHILDRENS HOSPITAL
14.6220703,121.0725708	QUIRINO MEMORIAL MEDICAL CENTER
14.6284904,121.0033493	PHILIPPINE ORTHOPEDIC CENTER
14.6347504,121.0514221	AFP MEDICAL CENTER
14.6420202,121.0472870	EAST AVENUE MEDICAL CENTER
14.6440697,121.0482025	PHILIPPINE HEART CENTER
14.6471500,121.0472794	NATIONAL KIDNEY AND TRANSPLANT INSTITUTE
14.6475096,121.0412598	PHILIPPINE CHILDRENS MEDICAL CENTER
14.6480198,121.0460510	LUNG CENTER OF THE PHILIPPINES
14.6557102,121.0399475	VETERANS MEMORIAL MEDICAL CENTER
14.6598501,121.0710220	UNIVERSITY HEALTH SERVICES
14.6618004,14.6618004	QUEZON CITY GENERAL HOSPITAL
14.7004805,121.0343704	NOVALICHES DISTRICT HOSPITAL
14.6482496,120.9735107	CALOOCAN CITY MEDICAL CENTER
14.7668620,121.0645760	DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL
14.6552896,120.96234	PAGAMUTANG BAYAN NG MALABON
14.6942797,120.9563675	SAN LORENZO RUIZ WOMEN'S HOSPITAL
14.6921501,120.9792404	VALENZUELA MEDICAL CENTER
14.7079963,120.9463285	VALENZUELA CITY EMERGENCY HOSPITAL
10.6721401,122.9510193	CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL
10.5355701,122.8471222	BAGO CITY HOSPITAL
10.1946001,122.8593826	BINALBAGAN INFIRMARY
10.9425001,123.2638321	CADIZ DISTRICT HOSPITAL
10.5957098,123.4826279	CALATRAVA MUNICIPAL HOSPITAL
9.9721003,122.5872269	CAUAYAN DISTRICT HOSPITAL
10.8528996,123.4849625	VICENTE GUSTILO MEMORIAL DISTRICT HOSPITAL
10.1170301,122.8713989	GOV. VALERIANO GATUSLAO MEMORIAL DISTRICT HOSPITAL
9.7876501,122.8029099	KABANKALAN CITY HOSPITAL
9.9895496,122.8132324	DR. GUMERSINDO GARCIA SR MEMORIAL HOSPITAL
10.0102100,122.8201904	LORENZO D. ZAYCO DISTRICT HOSPITAL
9.8050003,122.4238434	MERCEDITAS J MONTILLA DISTRICT HOSPITAL
10.2713804,122.8526230	HINIGARAN MEDICAL CLINIC
9.6296902,122.4682312	ELEUTERIO T. DECENA MEMORIAL HOSPITAL
10.2058201,122.9839706	IGNACIO LACSON ARROYO SR. MEMORIAL DISTRICT HOSPITAL
10.4227505,122.9134827	DON SALVADOR BENEDICTO MEMORIAL DISTRICT HOSPITAL
10.8090401,123.3761520	ALFREDO MARAÑON SR. MEMORIAL HOSPITAL
10.4805899,123.4192886	SAN CARLOS CITY HOSPITAL
10.8074198,122.9779968	TERESITA L. JALANDONI PROVINCIAL HOSPITAL
10.4480896,10.4480896	VALLADOLID DISTRICT HOSPITAL
9.5910101,123.1283112	BAIS DISTRICT HOSPITAL
9.7948399,123.1403503	BINDOY DISTRICT HOSPITAL
10.4011497,123.2135773	CANLAON DISTRICT HOSPITAL
9.3683500,122.8037186	BAYAWAN DISTRICT HOSPITAL
9.4813805,122.8291168	KALUMBOYAN COMMUNITY PRIMARY HOSPITAL
9.5938597,122.8773727	DAWIS PRIMARY COMMUNITY HOSPITAL
10.1321201,123.2769012	GOVERNOR WILLIAM (BILLY) VILLEGAS MEMORIAL HOSPITAL
10.1854401,123.1281204	LUZ-SIKATUNA COMMUNITY PRIMARY HOSPITAL
9.3226204,123.3000870	NEGROS ORIENTAL PROVINCIAL HOSPITAL
10.0773201,123.1557465	PACUAN COMMUNITY PRIMARY HOSPITAL
9.7369204,122.9271011	MABINAY MEDICARE COMMUNITY HOSPITAL
9.7628698,122.8675079	INAPOY COMMUNITY PRIMARY HOSPITAL
9.4161596,122.9340286	AMIO COMMUNITY PRIMARY HOSPITAL
9.0588598,123.0347977	CONG. LAMBERTO L. MACIAS MEMORIAL HOSPITAL
9.9205503,123.0905609	NABILOG COMMUNITY PRIMARY HOSPITAL
18.5332100,120.7618900	BANGUI DISTRICT HOSPITAL
18.0605200,120.5589000	MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER
18.1356700,120.6776300	DINGRAS DISTRICT HOSPITAL
18.1876700,120.5769600	LAOAG CITY GENERAL HOSPITAL
18.1995800,120.6015040	GOV. ROQUE B. ABLAN SR. MEMORIAL HOSPITAL
18.0430500,120.6789300	DOÑA JOSEFA EDRALIN MARCOS DISTRICT HOSPITAL
18.1658680,120.7177510	PIDDIG DISTRICT HOSPITAL
18.3287460,120.7331830	VINTAR DISTRICT HOSPITAL
16.9888400,120.7346600	ILOCOS SUR DISTRICT HOSPITAL - CERVANTES
17.1845600,120.4456700	CITY OF CANDON HOSPITAL
17.5535000,120.3797300	ILOCOS SUR PROVINCIAL HOSPITAL - GABRIELA SILANG
17.6896200,120.4276000	ILOCOS SUR DISTRICT HOSPITAL - MAGSINGAL
17.4181600,120.4699400	ILOCOS SUR DISTRICT HOSPITAL - NARVACAN
17.1299600,120.6764300	QUIRINO PRIMARY HEALTHCARE FACILITY
